doc_key,grade,score,needs_review,reason
frus1945v07/d274,核心文献,71,0,组织词出现 3 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d286,核心文献,86,0,组织词出现 4 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d290,相关文献,52,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位；文本信息量较高
frus1945v07/d292,相关文献,37,0,组织词出现 1 次；涉及政协/谈判；文本信息量较高
frus1945v07/d295,核心文献,66,0,组织词出现 2 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d332,核心文献,66,0,组织词出现 2 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d444,相关文献,49,0,组织词出现 1 次；涉及组织定位、政治纲领；文本信息量较高
frus1945v07/d560,核心文献,80,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判、压制/解散、新政协；文本信息量较高
frus1945v07/d569,核心文献,76,0,组织词出现 5 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d573,核心文献,71,0,组织词出现 3 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d574,核心文献,81,0,组织词出现 3 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v09/d14,相关文献,49,0,组织词出现 1 次；涉及组织定位、政协/谈判；文本信息量较高
frus1946v09/d31,相关文献,42,0,组织词出现 2 次；涉及政协/谈判；文本信息量较高
frus1946v09/d32,核心文献,66,0,组织词出现 2 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v09/d34,核心文献,64,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领；文本信息量较高
frus1946v09/d37,核心文献,65,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1946v09/d40,核心文献,75,0,组织词出现 3 次；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1946v09/d41,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v09/d44,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v09/d49,核心文献,76,0,组织词出现 4 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v09/d52,核心文献,80,0,组织词出现 7 次；涉及组织定位、政治纲领、政协/谈判、压制/解散；文本信息量较高
frus1946v09/d54,核心文献,59,0,组织词出现 3 次；涉及组织定位、政协/谈判；文本信息量较高
frus1946v09/d55,核心文献,59,0,组织词出现 3 次；涉及政治纲领、政协/谈判；文本信息量较高
frus1946v09/d58,核心文献,80,0,组织词出现 5 次；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1946v09/d74,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v09/d201,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v09/d228,核心文献,65,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1946v09/d409,相关文献,49,0,组织词出现 1 次；涉及组织定位、政协/谈判；文本信息量较高
frus1946v09/d421,核心文献,64,0,组织词出现 5 次；涉及组织定位、政协/谈判；文本信息量较高
frus1946v09/d423,相关文献,37,0,组织词出现 1 次；涉及组织定位；文本信息量较高
frus1946v09/d424,核心文献,76,0,组织词出现 4 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v09/d430,相关文献,54,0,组织词出现 2 次；涉及组织定位、政治纲领；文本信息量较高
frus1946v09/d432,相关文献,37,0,组织词出现 1 次；涉及政治纲领；文本信息量较高
frus1946v09/d441,相关文献,49,0,组织词出现 1 次；涉及组织定位、政协/谈判；文本信息量较高
frus1946v09/d443,相关文献,52,0,组织词出现 5 次；涉及组织定位；文本信息量较高
frus1946v09/d458,核心文献,80,0,组织词出现 8 次；涉及组织定位、政治纲领、政协/谈判、新政协；文本信息量较高
frus1946v09/d459,相关文献,52,0,组织词出现 4 次；涉及组织定位；文本信息量较高
frus1946v09/d471,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
